date,location,location_type,location_code,location_code_type,lat,long,cases_new,deaths_new,recovered_new,deaths,cases,cases_07,deaths_07
2020-01-22,Philippines,country,PH,iso_3166_2,12.879721,121.774017,0,0,0,0,0,0,0
2020-01-23,Philippines,country,PH,iso_3166_2,12.879721,121.774017,0,0,0,0,0,0,0
2020-01-24,Philippines,country,PH,iso_3166_2,12.879721,121.774017,0,0,0,0,0,0,0
2020-01-25,Philippines,country,PH,iso_3166_2,12.879721,121.774017,0,0,0,0,0,0,0
2020-01-26,Philippines,country,PH,iso_3166_2,12.879721,121.774017,0,0,0,0,0,0,0
2020-01-27,Philippines,country,PH,iso_3166_2,12.879721,121.774017,0,0,0,0,0,0,0
2020-01-28,Philippines,country,PH,iso_3166_2,12.879721,121.774017,0,0,0,0,0,0,0
2020-01-29,Philippines,country,PH,iso_3166_2,12.879721,121.774017,0,0,0,0,0,0,0
2020-01-30,Philippines,country,PH,iso_3166_2,12.879721,121.774017,1,0,0,0,1,0,0
2020-01-31,Philippines,country,PH,iso_3166_2,12.879721,121.774017,0,0,0,0,0,0,0
2020-02-01,Philippines,country,PH,iso_3166_2,12.879721,121.774017,0,0,0,0,0,0,0
2020-02-02,Philippines,country,PH,iso_3166_2,12.879721,121.774017,1,1,0,1,1,0,0
2020-02-03,Philippines,country,PH,iso_3166_2,12.879721,121.774017,0,0,0,0,0,0,0
2020-02-04,Philippines,country,PH,iso_3166_2,12.879721,121.774017,0,0,0,0,0,0,0
2020-02-05,Philippines,country,PH,iso_3166_2,12.879721,121.774017,0,0,0,0,0,0,0
2020-02-06,Philippines,country,PH,iso_3166_2,12.879721,121.774017,0,0,0,0,0,0,0
2020-02-07,Philippines,country,PH,iso_3166_2,12.879721,121.774017,1,0,0,0,1,0,0
2020-02-08,Philippines,country,PH,iso_3166_2,12.879721,121.774017,0,0,0,0,0,0,0
2020-02-09,Philippines,country,PH,iso_3166_2,12.879721,121.774017,0,0,0,0,0,0,0
2020-02-10,Philippines,country,PH,iso_3166_2,12.879721,121.774017,0,0,0,0,0,0,0
2020-02-11,Philippines,country,PH,iso_3166_2,12.879721,121.774017,0,0,0,0,0,0,0
2020-02-12,Philippines,country,PH,iso_3166_2,12.879721,121.774017,0,0,1,0,0,0,0
2020-02-13,Philippines,country,PH,iso_3166_2,12.879721,121.774017,0,0,0,0,0,0,0
2020-02-14,Philippines,country,PH,iso_3166_2,12.879721,121.774017,0,0,0,0,0,0,0
2020-02-15,Philippines,country,PH,iso_3166_2,12.879721,121.774017,0,0,0,0,0,0,0
2020-02-16,Philippines,country,PH,iso_3166_2,12.879721,121.774017,0,0,0,0,0,0,0
2020-02-17,Philippines,country,PH,iso_3166_2,12.879721,121.774017,0,0,0,0,0,0,0
2020-02-18,Philippines,country,PH,iso_3166_2,12.879721,121.774017,0,0,0,0,0,0,0
2020-02-19,Philippines,country,PH,iso_3166_2,12.879721,121.774017,0,0,0,0,0,0,0
2020-02-20,Philippines,country,PH,iso_3166_2,12.879721,121.774017,0,0,0,0,0,0,0
2020-02-21,Philippines,country,PH,iso_3166_2,12.879721,121.774017,0,0,0,0,0,0,0
2020-02-22,Philippines,country,PH,iso_3166_2,12.879721,121.774017,0,0,0,0,0,0,0
2020-02-23,Philippines,country,PH,iso_3166_2,12.879721,121.774017,0,0,0,0,0,0,0
2020-02-24,Philippines,country,PH,iso_3166_2,12.879721,121.774017,0,0,0,0,0,0,0
