date,region,cases,pop,cum_cases,cases_07,cases_100k_07
2020-01-30,Central Visayas,1,7357649,1,0,0
2020-01-31,Central Visayas,0,7357649,1,0,0
2020-02-01,Central Visayas,0,7357649,1,0,0
2020-02-02,Central Visayas,0,7357649,1,0,0
2020-02-03,Central Visayas,1,7357649,2,0,0
2020-02-04,Central Visayas,0,7357649,2,0,0
2020-02-05,Central Visayas,1,7357649,3,0,0
2020-02-06,Central Visayas,0,7357649,3,0,0
2020-02-07,Central Visayas,0,7357649,3,0,0
2020-02-08,Central Visayas,0,7357649,3,0,0
2020-02-09,Central Visayas,0,7357649,3,0,0
2020-02-10,Central Visayas,0,7357649,3,0,0
2020-02-11,Central Visayas,0,7357649,3,0,0
2020-02-12,Central Visayas,0,7357649,3,0,0
2020-02-13,Central Visayas,0,7357649,3,0,0
2020-02-14,Central Visayas,0,7357649,3,0,0
2020-02-15,Central Visayas,0,7357649,3,0,0
2020-02-16,Central Visayas,0,7357649,3,0,0
2020-02-17,Central Visayas,0,7357649,3,0,0
2020-02-18,Central Visayas,0,7357649,3,0,0
2020-02-19,Central Visayas,0,7357649,3,0,0
2020-02-20,Central Visayas,0,7357649,3,0,0
2020-02-21,Central Visayas,0,7357649,3,0,0
2020-02-22,Central Visayas,0,7357649,3,0,0
2020-02-23,Central Visayas,0,7357649,3,0,0
2020-02-24,Central Visayas,0,7357649,3,0,0
2020-02-25,Central Visayas,0,7357649,3,0,0
2020-02-26,Central Visayas,0,7357649,3,0,0
2020-02-27,Central Visayas,0,7357649,3,0,0
2020-02-28,Central Visayas,0,7357649,3,0,0
2020-02-29,Central Visayas,0,7357649,3,0,0
2020-03-01,Central Visayas,0,7357649,3,0,0
2020-03-02,Central Visayas,0,7357649,3,0,0
2020-03-03,Central Visayas,0,7357649,3,0,0
2020-03-04,Central Visayas,0,7357649,3,0,0
2020-03-05,Central Visayas,0,7357649,3,0,0
2020-03-06,Central Visayas,0,7357649,3,0,0
2020-03-07,Central Visayas,0,7357649,3,0,0
2020-03-08,Central Visayas,0,7357649,3,0,0
2020-03-09,Central Visayas,0,7357649,3,0,0
2020-03-10,Central Visayas,0,7357649,3,0,0
2020-03-11,Central Visayas,1,7357649,4,0,0
2020-03-12,Central Visayas,0,7357649,4,0,0
2020-03-13,Central Visayas,0,7357649,4,0,0
2020-03-14,Central Visayas,0,7357649,4,0,0
2020-03-15,Central Visayas,0,7357649,4,0,0
2020-03-16,Central Visayas,0,7357649,4,0,0
2020-03-17,Central Visayas,0,7357649,4,0,0
2020-03-18,Central Visayas,1,7357649,5,0,0
2020-03-19,Central Visayas,0,7357649,5,0,0
2020-03-20,Central Visayas,0,7357649,5,0,0
2020-03-21,Central Visayas,0,7357649,5,0,0
2020-03-22,Central Visayas,0,7357649,5,0,0
2020-03-23,Central Visayas,0,7357649,5,0,0
2020-03-24,Central Visayas,1,7357649,6,0,0
2020-03-25,Central Visayas,0,7357649,6,0,0
2020-03-26,Central Visayas,0,7357649,6,0,0
2020-03-27,Central Visayas,0,7357649,6,0,0
2020-03-28,Central Visayas,0,7357649,6,0,0
2020-03-29,Central Visayas,0,7357649,6,0,0
2020-03-30,Central Visayas,0,7357649,6,0,0
2020-03-31,Central Visayas,26,7357649,32,3,0.04
2020-04-01,Central Visayas,1,7357649,33,3,0.04
2020-04-02,Central Visayas,5,7357649,38,4,0.05
2020-04-03,Central Visayas,0,7357649,38,4,0.05
2020-04-04,Central Visayas,1,7357649,39,4,0.05
2020-04-05,Central Visayas,0,7357649,39,4,0.05
2020-04-06,Central Visayas,3,7357649,42,5,0.07
2020-04-07,Central Visayas,0,7357649,42,1,0.01
2020-04-08,Central Visayas,0,7357649,42,1,0.01
2020-04-09,Central Visayas,1,7357649,43,0,0
2020-04-10,Central Visayas,1,7357649,44,0,0
2020-04-11,Central Visayas,0,7357649,44,0,0
2020-04-12,Central Visayas,2,7357649,46,1,0.01
2020-04-13,Central Visayas,0,7357649,46,0,0
2020-04-14,Central Visayas,0,7357649,46,0,0
2020-04-15,Central Visayas,7,7357649,53,1,0.01
2020-04-16,Central Visayas,21,7357649,74,4,0.05
2020-04-17,Central Visayas,27,7357649,101,8,0.11
2020-04-18,Central Visayas,2,7357649,103,8,0.11
2020-04-19,Central Visayas,17,7357649,120,10,0.14
2020-04-20,Central Visayas,25,7357649,145,14,0.19
2020-04-21,Central Visayas,48,7357649,193,21,0.29
2020-04-22,Central Visayas,13,7357649,206,21,0.29
