year_month,no,cases,date,prop
2020_1,6,1,2020-01-01,600
2020_10,46,69035,2020-10-01,0.0666328673861085
2020_11,390,50901,2020-11-01,0.766193198561914
2020_12,658,42434,2020-12-01,1.55064335202903
2020_2,1,2,2020-02-01,50
2020_3,36,2081,2020-03-01,1.72993753003364
2020_4,12,6404,2020-04-01,0.18738288569644
2020_5,3,9598,2020-05-01,0.0312565117732861
2020_6,17,19428,2020-06-01,0.087502573605106
2020_7,128,55840,2020-07-01,0.229226361031519
2020_8,80,127465,2020-08-01,0.0627623269132703
2020_9,35,90875,2020-09-01,0.0385144429160935
2021_1,1246,51554,2021-01-01,2.41688326802964
2021_10,42,237310,2021-10-01,0.0176983692216931
2021_11,40,45458,2021-11-01,0.0879933125082494
2021_12,749,11245,2021-12-01,6.66073810582481
2021_2,845,50734,2021-02-01,1.66554972996413
2021_3,1725,170936,2021-03-01,1.00914962325081
2021_4,1058,290172,2021-04-01,0.36461133396744
2021_5,832,192841,2021-05-01,0.43144352082804
2021_6,1559,182258,2021-06-01,0.855380833763127
2021_7,2511,176406,2021-07-01,1.42342097207578
2021_8,2177,400892,2021-08-01,0.543039022978757
2021_9,146,560109,2021-09-01,0.0260663549416274
2022_1,4645,716223,2022-01-01,0.648541027026499
2022_10,1068,56425,2022-10-01,1.89277802392556
2022_11,931,31812,2022-11-01,2.926568590469
2022_12,241,28166,2022-12-01,0.85564155364624
2022_2,1407,101795,2022-02-01,1.3821896949752
2022_3,254,16248,2022-03-01,1.56326932545544
2022_4,137,7398,2022-04-01,1.85185185185185
2022_5,206,4938,2022-05-01,4.17172944511948
2022_6,559,13826,2022-06-01,4.04310718935339
2022_7,1333,72220,2022-07-01,1.84574909997231
2022_8,1678,103602,2022-08-01,1.61965985212641
2022_9,697,67811,2022-09-01,1.02785683738626
2023_1,50,8760,2023-01-01,0.570776255707762
